Month, Year, avr_temp_F, max_temp_F, min_temp_F, avr_wind_mph, avr_press_inch
1,2015,33.95,48,18,10.27,29.29
2,2015,33.55,48,12,7.99,29.46
3,2015,39.99,63,27,8.33,29.57
4,2015,44.65,72,28,11.31,29.47
5,2015,51.96,73,36,8.32,29.44
6,2015,58.04,86,37,7.48,29.53
7,2015,62.43,90,48,8.54,29.41
8,2015,66.77,91,46,6.81,29.59
9,2015,56.48,90,43,6.88,29.53
10,2015,44.87,70,25,7.03,29.68
11,2015,42.11,57,27,9.4,29.37
12,2015,39.38,54,18,9.74,29.66
1,2016,26.36,52,1,7.78,29.39
2,2016,35.89,48,19,8.69,29.25
3,2016,37.72,57,25,7.2,29.44
4,2016,45.58,72,28,8.65,29.37
5,2016,56.81,81,37,8.14,29.48
6,2016,62.3,88,39,7.76,29.45
7,2016,63.78,86,50,7.9,29.45
8,2016,62.29,84,46,7.63,29.54
9,2016,58.52,79,37,6.44,29.59
10,2016,44.84,64,0,10.21,29.66
11,2016,37.54,52,27,8.77,29.42
12,2016,35.62,50,21,10.81,29.66
1,2017,28.42,41,7,10.16,29.59
2,2017,30.53,50,10,11.87,29.53
3,2017,39.81,66,25,10.29,29.43
4,2017,42.42,73,27,11.05,29.46
5,2017,53.7,81,28,9.91,29.55
6,2017,59.69,79,37,11.74,29.37
7,2017,60.93,84,45,9.63,29.4
8,2017,62.61,84,48,8.22,29.51
9,2017,55.54,66,41,9.65,29.45
10,2017,49.49,70,32,12.95,29.37
11,2017,39.88,55,25,9.95,29.34
12,2017,35.34,46,19,12.31,29.24
1,2018,32.36,48,18,11.05,29.4
2,2018,25.11,43,3,6.49,29.6
3,2018,30.45,50,1,8.47,29.28
4,2018,50.63,79,27,9.51,29.42
5,2018,58.95,82,37,7.59,29.61
6,2018,62.31,84,39,8.92,29.49
7,2018,66.94,84,52,9.09,29.44
8,2018,66.22,88,46,7.97,29.5
9,2018,58.34,84,36,8.81,29.58
10,2018,50.03,72,34,10,29.5
11,2018,39.5,59,21,8.09,29.71
12,2018,34.48,48,16,9.76,29.44
1,2019,30.02,43,10,11.27,29.25
2,2019,36.42,55,14,12.21,29.56
3,2019,40.31,63,21,13.16,29.33
4,2019,46.43,75,27,10.18,29.62
5,2019,51.43,73,30,10.18,29.4
6,2019,67.02,93,46,8.85,29.55
7,2019,61.52,81,46,9.89,29.41
8,2019,65.67,88,48,7.23,29.52
9,2019,56.39,88,41,10.66,29.47
10,2019,49.52,68,30,8.75,29.41
11,2019,40.69,50,28,9.99,29.27
12,2019,37.47,50,25,11.4,29.31
1,2020,37.8,50,27,12.49,29.53
2,2020,38.45,55,27,14.54,29.2
3,2020,38.35,61,19,10.54,29.52
4,2020,45.28,70,27,10.82,29.53
5,2020,49.41,70,32,10.44,29.53
6,2020,61.58,82,41,8.23,29.42
7,2020,61.75,82,45,9.83,29.44
8,2020,65.49,90,46,7.15,29.46
9,2020,59,84,41,8.34,29.5
10,2020,49.9,66,32,9.31,29.37
11,2020,42.78,61,28,10.03,29.64
12,2020,34.13,45,23,11.22,29.37
1,2021,29.49,46,3,9.01,29.26
2,2021,28.41,59,5,8.87,29.61
3,2021,36.97,66,19,10.71,29.52
4,2021,40.77,66,27,10.41,29.46
5,2021,51.23,79,28,9.91,29.33
6,2021,64.81,90,46,8.12,29.55
7,2021,68.09,84,52,8.04,29.44
8,2021,61.19,82,45,9.05,29.41
9,2021,56.21,82,39,8.62,29.56
10,2021,48.48,66,30,9.72,29.53
11,2021,41.29,55,28,10.29,29.37
12,2021,30.07,50,10,10.8,29.38
1,2022,34.42,50,18,14.45,29.42
2,2022,37.06,48,27,14.06,29.26
3,2022,36.39,61,19,7.6,29.84
2022,34.42,50,18,14.45,29.42
2022,37.06,48,27,14.06,29.26
2022,36.39,61,19,7.6,29.84
2022,42.27,63,27,10.99,29.41
2022,52.4,79,32,9.65,29.51
2022,62.24,88,43,8.29,29.5
2022,63.82,93,50,10.09,29.53
2022,68.11,91,50,7.42,29.56
2022,52.9,66,37,7.83,29.41
